127.0.0.1 - - [19/Apr/2020:23:42:35 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [19/Apr/2020:23:42:49 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [19/Apr/2020:23:42:49 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2020:23:42:49 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2020:23:43:25 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [19/Apr/2020:23:43:27 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [19/Apr/2020:23:43:27 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [19/Apr/2020:23:43:29 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [19/Apr/2020:23:44:15 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [19/Apr/2020:23:44:17 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [19/Apr/2020:23:44:55 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2902
0:0:0:0:0:0:0:1 - - [19/Apr/2020:23:49:35 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2379
0:0:0:0:0:0:0:1 - - [19/Apr/2020:23:49:38 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [19/Apr/2020:23:50:35 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [19/Apr/2020:23:51:46 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2902
0:0:0:0:0:0:0:1 - - [19/Apr/2020:23:52:54 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 398
