127.0.0.1 - - [12/Jun/2020:18:08:26 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [12/Jun/2020:18:09:02 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3411
0:0:0:0:0:0:0:1 - - [12/Jun/2020:18:09:02 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [12/Jun/2020:18:09:02 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [12/Jun/2020:18:09:02 +0900] "GET /BBS/css/main.css HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [12/Jun/2020:18:09:02 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [12/Jun/2020:18:09:02 +0900] "GET /BBS/js/main_vendor/jquery-1.10.2.min.js HTTP/1.1" 200 93100
0:0:0:0:0:0:0:1 - - [12/Jun/2020:18:09:02 +0900] "GET /BBS/js/main.js HTTP/1.1" 200 957
0:0:0:0:0:0:0:1 - - [12/Jun/2020:18:09:02 +0900] "GET /BBS/css/main_normalize.css HTTP/1.1" 200 7540
0:0:0:0:0:0:0:1 - - [12/Jun/2020:18:09:02 +0900] "GET /BBS/images/titleLogo.png HTTP/1.1" 200 14642
0:0:0:0:0:0:0:1 - - [12/Jun/2020:18:09:02 +0900] "GET /BBS/img/2_gr.png HTTP/1.1" 200 12639
0:0:0:0:0:0:0:1 - - [12/Jun/2020:18:09:02 +0900] "GET /BBS/img/1_bl.png HTTP/1.1" 200 11851
0:0:0:0:0:0:0:1 - - [12/Jun/2020:18:09:02 +0900] "GET /BBS/img/1_gr.png HTTP/1.1" 200 8385
0:0:0:0:0:0:0:1 - - [12/Jun/2020:18:09:02 +0900] "GET /BBS/js/main_vendor/jquery-ui-1.10.3.custom.min.js HTTP/1.1" 200 35029
0:0:0:0:0:0:0:1 - - [12/Jun/2020:18:09:02 +0900] "GET /BBS/img/2_bl.png HTTP/1.1" 200 19134
0:0:0:0:0:0:0:1 - - [12/Jun/2020:18:09:02 +0900] "GET /BBS/img/3_gr.png HTTP/1.1" 200 8820
0:0:0:0:0:0:0:1 - - [12/Jun/2020:18:09:03 +0900] "GET /BBS/img/3_bl.png HTTP/1.1" 200 9745
0:0:0:0:0:0:0:1 - - [12/Jun/2020:18:09:03 +0900] "GET /BBS/img/4_gr.png HTTP/1.1" 200 7581
0:0:0:0:0:0:0:1 - - [12/Jun/2020:18:09:03 +0900] "GET /BBS/img/4_bl.png HTTP/1.1" 200 7644
0:0:0:0:0:0:0:1 - - [12/Jun/2020:18:09:03 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [12/Jun/2020:18:09:14 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 7056
0:0:0:0:0:0:0:1 - - [12/Jun/2020:18:09:14 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 7056
0:0:0:0:0:0:0:1 - - [12/Jun/2020:18:09:17 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3411
0:0:0:0:0:0:0:1 - - [12/Jun/2020:18:19:03 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3474
0:0:0:0:0:0:0:1 - - [12/Jun/2020:18:19:06 +0900] "GET /BBS/viewLife.jsp HTTP/1.1" 500 91
0:0:0:0:0:0:0:1 - - [12/Jun/2020:18:24:41 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3573
0:0:0:0:0:0:0:1 - - [12/Jun/2020:18:24:43 +0900] "GET /BBS/viewLife.jsp HTTP/1.1" 500 91
0:0:0:0:0:0:0:1 - - [12/Jun/2020:18:24:50 +0900] "GET /BBS/viewLife.jsp HTTP/1.1" 500 91
0:0:0:0:0:0:0:1 - - [12/Jun/2020:18:32:39 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [12/Jun/2020:18:32:41 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 7056
