127.0.0.1 - - [02/Jul/2020:16:36:41 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:43:48 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 4078
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:43:49 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:43:49 +0900] "GET /BBS/css/main_normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:43:49 +0900] "GET /BBS/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:43:49 +0900] "GET /BBS/js/main_vendor/jquery-ui-1.10.3.custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:43:49 +0900] "GET /BBS/js/main_vendor/jquery-1.10.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:43:49 +0900] "GET /BBS/img/1_bl.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:43:49 +0900] "GET /BBS/img/1_gr.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:43:49 +0900] "GET /BBS/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:43:49 +0900] "GET /BBS/img/2_gr.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:43:49 +0900] "GET /BBS/img/2_bl.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:43:49 +0900] "GET /BBS/img/3_gr.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:43:49 +0900] "GET /BBS/img/3_bl.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:43:49 +0900] "GET /BBS/img/4_bl.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:43:49 +0900] "GET /BBS/img/4_gr.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:43:51 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:45:20 +0900] "GET /BBS/bbsLife.jsp HTTP/1.1" 200 3408
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:45:20 +0900] "GET /BBS/bbsAnimal.jsp HTTP/1.1" 200 3837
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:47:00 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 4078
0:0:0:0:0:0:0:1 - - [02/Jul/2020:16:47:09 +0900] "GET /BBS/bbsAnimal.jsp HTTP/1.1" 200 3837
